gemeente,jaar_vkl,incident_count,Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal),Aantal incidenten per 1000 inwoners
Amersfoort,2010,1198,144862,8.26993966671729
Amersfoort,2011,1014,146592,6.917157825802226
Amersfoort,2012,1212,148250,8.175379426644183
Amersfoort,2013,1067,149662,7.129398244043244
Amersfoort,2014,806,150897,5.341391810307694
Amersfoort,2015,1013,152481,6.64345065942642
Amersfoort,2016,1151,153602,7.493392013124829
Amersfoort,2017,1283,154337,8.31297744546026
Amstelveen,2008,381,78980,4.824006077487971
Amstelveen,2009,262,79768,3.2845251228562833
Amstelveen,2010,315,80695,3.903587582873784
Amstelveen,2011,254,81796,3.1052863220695386
Amstelveen,2012,262,83363,3.142881134316183
Amstelveen,2013,297,84379,3.519833133836618
Amstelveen,2014,284,85015,3.340586955243192
Amstelveen,2015,410,87162,4.703884720405681
Amstelveen,2016,381,88602,4.30012866526715
Amstelveen,2017,388,89294,4.345196765740139
Amsterdam,2008,4901,747093,6.560093589419256
Amsterdam,2009,4116,755605,5.447290581719284
Amsterdam,2010,3537,767457,4.6087272641985155
Amsterdam,2011,3503,779808,4.492131396446305
Amsterdam,2012,3624,790110,4.586703117287466
Amsterdam,2013,4255,799278,5.323554507943419
Amsterdam,2014,4126,810937,5.08794148004099
Amsterdam,2015,6309,821752,7.677498807426085
Amsterdam,2016,6738,833624,8.082780726082742
Amsterdam,2017,6817,844947,8.067961659133651
Apeldoorn,2008,1543,155108,9.947907264615623
Apeldoorn,2009,1069,155332,6.882033322174439
Apeldoorn,2010,1537,155726,9.869899695619228
Apeldoorn,2011,1267,156199,8.111447576488967
Apeldoorn,2012,1372,156961,8.74102484056549
Apeldoorn,2013,1434,157315,9.11546896354448
Apeldoorn,2014,1288,157545,8.175441937224285
Apeldoorn,2015,1694,158099,10.714805280235803
Apeldoorn,2016,1752,159025,11.01713567049206
Apeldoorn,2017,1731,160047,10.815572925453148
Appingedam,2008,116,12131,9.562278460143434
Appingedam,2009,73,12114,6.026085520884926
Appingedam,2010,70,12032,5.81781914893617
Appingedam,2011,82,12090,6.782464846980976
Appingedam,2012,55,12053,4.563179291462706
Appingedam,2013,66,12053,5.475815149755247
Appingedam,2014,54,12064,4.476127320954907
Appingedam,2015,57,12011,4.745649820997419
Appingedam,2016,62,12001,5.166236146987751
Appingedam,2017,68,11971,5.680394286191629
Arnhem,2008,665,143582,4.631499770166177
Arnhem,2009,501,145574,3.4415486281891
Arnhem,2010,1193,147018,8.114652627569413
Arnhem,2011,1267,148070,8.556763692847976
Arnhem,2012,1363,149271,9.131043538262624
Arnhem,2013,1219,149827,8.136050244615458
Arnhem,2014,1097,150823,7.27342646678557
Arnhem,2015,1429,152293,9.383228382131811
Arnhem,2016,1648,153818,10.713960654799829
Arnhem,2017,1620,155699,10.404691102704579
Assen,2008,473,65487,7.222807580130407
Assen,2009,292,66369,4.3996444123009235
Assen,2010,362,66857,5.414541484063
Assen,2011,281,67177,4.182979293508195
Assen,2012,305,67208,4.53815022021188
Assen,2013,399,67204,5.937146598416761
Assen,2014,336,67190,5.000744158356898
Assen,2015,403,67165,6.000148887069158
Assen,2016,377,67061,5.62174736433993
Assen,2017,423,67551,6.261935426566594
Asten,2008,182,16392,11.102977061981454
Asten,2009,106,16363,6.478029701155045
Asten,2010,182,16335,11.141720232629323
Asten,2011,138,16296,8.468335787923417
Asten,2012,119,16404,7.254328212631066
Asten,2013,134,16392,8.174719375305028
Asten,2014,119,16440,7.238442822384428
Asten,2015,129,16559,7.79032550274775
Asten,2016,133,16580,8.021712907117008
Asten,2017,152,16714,9.094172549958119
Baarle-Nassau,2008,35,6664,5.2521008403361344
Baarle-Nassau,2009,16,6682,2.394492666866208
Baarle-Nassau,2010,34,6703,5.07235566164404
Baarle-Nassau,2011,39,6704,5.817422434367542
Baarle-Nassau,2012,36,6722,5.355548943766736
Baarle-Nassau,2013,36,6699,5.3739364084191665
Baarle-Nassau,2014,48,6612,7.259528130671506
Baarle-Nassau,2015,40,6599,6.061524473405061
Baarle-Nassau,2016,46,6611,6.958100136136742
Baarle-Nassau,2017,55,6657,8.261979870812677
Baarn,2008,125,24406,5.121691387363763
Baarn,2009,129,24335,5.30100678035751
Baarn,2010,229,24317,9.417280092116627
Baarn,2011,198,24379,8.121744124041184
Baarn,2012,205,24352,8.41819973718791
Baarn,2013,220,24277,9.062075215224286
Baarn,2014,205,24314,8.43135642016945
Baarn,2015,209,24406,8.563467999672211
Baarn,2016,254,24521,10.358468251702622
Baarn,2017,225,24529,9.17281585062579
Barendrecht,2008,203,44962,4.514923713357947
Barendrecht,2009,170,45861,3.706853317633719
Barendrecht,2010,186,46449,4.004391913711813
Barendrecht,2011,161,46831,3.437893702889112
Barendrecht,2012,349,47053,7.4171678745244725
Barendrecht,2013,316,47371,6.670747925946254
Barendrecht,2014,309,47377,6.522152099119826
Barendrecht,2015,397,47521,8.354201300477683
Barendrecht,2016,531,47861,11.094628194145548
Barendrecht,2017,501,48344,10.363230183683601
Barneveld,2008,274,51486,5.32183506195859
Barneveld,2009,217,52066,4.167787039526754
Barneveld,2010,479,52490,9.125547723375881
Barneveld,2011,446,53026,8.410968204277147
Barneveld,2012,573,53521,10.706077988079446
Barneveld,2013,504,53751,9.376569738237427
Barneveld,2014,553,54152,10.211995863495346
Barneveld,2015,692,54703,12.650128877758075
Barneveld,2016,867,55441,15.638246063382697
Barneveld,2017,894,56376,15.857811834823329
Bedum,2008,77,10550,7.298578199052132
Bedum,2009,55,10462,5.257121009367234
Bedum,2010,46,10447,4.403177945821767
Bedum,2011,44,10495,4.192472606002858
Bedum,2012,37,10508,3.5211267605633805
Bedum,2013,38,10553,3.600871790012319
Bedum,2014,34,10494,3.2399466361730513
Bedum,2015,32,10441,3.0648405325160426
Bedum,2016,41,10433,3.929838013994057
Bedum,2017,36,10479,3.4354423131978242
Beemster,2008,117,8474,13.806938871843284
Beemster,2009,60,8564,7.006071929005137
Beemster,2010,146,8584,17.00838769804287
Beemster,2011,118,8573,13.764143240405925
Beemster,2012,124,8719,14.22181442826012
Beemster,2013,145,8785,16.505406943653956
Beemster,2014,120,8910,13.468013468013467
