id;gemeentenaam;inwoneraantal;koolstofdioxide_uitstoot_heden;stifstofdioxide_uitstoot_heden;fijnstof_uitstoot_heden;koolstofdioxide_uitstoot_inwoner_km2;stifstofdioxide_uitstoot_inwoner_km2;fijnstof_uitstoot_inwoner_km2
;Winterswijk;28907;30727960,6;4915,79;79206;1062,99;0,17005535;2,740028367
;Woensdrecht;21861;67801678,3;9765,74;181849;3101,49;0,446719729;8,318420932
;Woerden;52204;226579043,7;32323,6;574744;4340,26;0,619178607;11,00957781
;Wormerland;16332;52873774,62;7655,59;126643;3237,43;0,468747857;7,754286064
;Woudenberg;13165;40830729,83;6004,53;104710;3101,46;0,456097987;7,953665021
;Zaanstad;155799;139053905,4;22199,36;346525;892,52;0,142487179;2,224179873
;Zaltbommel;28441;86435291,8;12493,74;225518;3039,11;0,439286242;7,929327379
;Zandvoort;17004;7471686,7;1316,433;18312,6;439,41;0,077419019;1,076958363
;Zeewolde;22312;65726697;9742,85;185691;2945,80;0,436664127;8,322472212
;Zeist;63960;108972272,1;16446,83;280607;1703,76;0,257142433;4,387226391
;Zevenaar;43507;82960503,9;12356,1;215508;1906,83;0,284002574;4,953409796
;Zoetermeer;124947;143886897;22593,81;349429;1151,58;0,180827151;2,796617766
;Zoeterwoude;8451;18419053,18;2793,66;47485,3;2179,51;0,33057153;5,618897172
;Zuidplas;42767;136300361,3;19416,83;341768;3187,05;0,45401431;7,991395235
;Zundert;21624;20828844,9;3291,45;54544,8;963,23;0,152212819;2,522419534
;Zutphen;47605;45240647,7;7434,57;119789;950,33;0,156172041;2,516311312
;Zwartewaterland;22502;27568226,2;4389,42;76243,5;1225,15;0,195067994;3,388298818
;Zwijndrecht;44654;53556232,6;8321,11;138324;1199,36;0,186346352;3,097684418
;Zwolle;127492;231064819,1;35610,8;600615;1812,39;0,279317918;4,711001475
