Perioden,Regio's,Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Mannen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Vrouwen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Inwoners 15 jaar of ouder (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Ongehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gescheiden (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Verweduwd (in % van  inwoners 15 jaar of ouder),Landbouw/Graasdieren/Rundvee (aantal),Landbouw/Graasdieren/Schapen (aantal),Lokalisering/Gemeenten (aantal),Lokalisering/Wijken (aantal),Lokalisering/Buurten (aantal)
2017,'s-Hertogenbosch,152411,75276,77135,,,,,,,,,,
2017,Aa en Hunze,25286,12603,12683,,,,,,,,,,
2017,Aalburg,13067,6615,6452,,,,,,,,,,
2017,Aalsmeer,31373,15516,15857,,,,,,,,,,
2017,Aalten,27047,13625,13422,,,,,,,,,,
2017,Achtkarspelen,27893,14185,13708,,,,,,,,,,
2017,Alblasserdam,20008,9809,10199,,,,,,,,,,
2017,Albrandswaard,25105,12450,12655,,,,,,,,,,
2017,Alkmaar,108373,53659,54714,,,,,,,,,,
2017,Almelo,72479,36165,36314,,,,,,,,,,
2017,Almere,200914,99673,101241,,,,,,,,,,
2017,Alphen aan den Rijn,108915,54164,54751,,,,,,,,,,
2017,Alphen-Chaam,10058,5121,4937,,,,,,,,,,
2017,Ameland,3633,1799,1834,,,,,,,,,,
2017,Amersfoort,154337,75943,78394,,,,,,,,,,
2017,Amstelveen,89294,42739,46555,,,,,,,,,,
2017,Amsterdam,844947,418127,426820,,,,,,,,,,
2017,Apeldoorn,160047,79491,80556,,,,,,,,,,
2017,Appingedam,11971,5802,6169,,,,,,,,,,
2017,Arnhem,155699,77707,77992,,,,,,,,,,
2017,Assen,67551,33368,34183,,,,,,,,,,
2017,Asten,16714,8604,8110,,,,,,,,,,
2017,Baarle-Nassau,6657,3381,3276,,,,,,,,,,
2017,Baarn,24529,11838,12691,,,,,,,,,,
2017,Barendrecht,48344,23860,24484,,,,,,,,,,
2017,Barneveld,56376,28056,28320,,,,,,,,,,
2017,Bedum,10479,5241,5238,,,,,,,,,,
2017,Beemster,9205,4580,4625,,,,,,,,,,
2017,Beesel,13405,6768,6637,,,,,,,,,,
2017,Berg en Dal,34764,17303,17461,,,,,,,,,,
2017,Bergeijk,18342,9339,9003,,,,,,,,,,
2017,Bergen op Zoom,66164,32745,33419,,,,,,,,,,
2017,Berkelland,44238,22224,22014,,,,,,,,,,
2017,Bernheze,30252,15258,14994,,,,,,,,,,
2017,Best,29180,14613,14567,,,,,,,,,,
2017,Beuningen,25424,12697,12727,,,,,,,,,,
2017,Beverwijk,40709,20322,20387,,,,,,,,,,
2017,Binnenmaas,29122,14439,14683,,,,,,,,,,
2017,Bladel,20063,10177,9886,,,,,,,,,,
2017,Blaricum,10201,4963,5238,,,,,,,,,,
2017,Bloemendaal,22826,10985,11841,,,,,,,,,,
2017,Bodegraven-Reeuwijk,33733,16901,16832,,,,,,,,,,
2017,Boekel,10414,5326,5088,,,,,,,,,,
2017,Borger-Odoorn,25355,12646,12709,,,,,,,,,,
2017,Borne,22795,11411,11384,,,,,,,,,,
2017,Borsele,22688,11471,11217,,,,,,,,,,
2017,Boxmeer,28709,14469,14240,,,,,,,,,,
2017,Boxtel,30655,15231,15424,,,,,,,,,,
2017,Breda,182304,89594,92710,,,,,,,,,,
2017,Brielle,16833,8260,8573,,,,,,,,,,
2017,Bronckhorst,36410,18150,18260,,,,,,,,,,
2017,Brummen,20843,10282,10561,,,,,,,,,,
2017,Brunssum,28358,13873,14485,,,,,,,,,,
2017,Bunnik,15156,7505,7651,,,,,,,,,,
2017,Bunschoten,21020,10493,10527,,,,,,,,,,
2017,Buren,26348,13212,13136,,,,,,,,,,
2017,Capelle aan den IJssel,66421,32080,34341,,,,,,,,,,
2017,Castricum,35216,17254,17962,,,,,,,,,,
2017,Coevorden,35286,17594,17692,,,,,,,,,,
2017,Cranendonck,20676,10404,10272,,,,,,,,,,
2017,Cromstrijen,12797,6345,6452,,,,,,,,,,
2017,Cuijk,24696,12310,12386,,,,,,,,,,
2017,Culemborg,27864,13861,14003,,,,,,,,,,
2017,Dalfsen,28070,14220,13850,,,,,,,,,,
2017,Dantumadiel,18942,9536,9406,,,,,,,,,,
2017,De Bilt,42754,20434,22320,,,,,,,,,,
2017,De Fryske Marren,51585,25988,25597,,,,,,,,,,
2017,De Marne,10088,5100,4988,,,,,,,,,,
2017,De Ronde Venen,42763,21144,21619,,,,,,,,,,
2017,De Wolden,23744,11853,11891,,,,,,,,,,
2017,Delft,101381,53995,47386,,,,,,,,,,
2017,Delfzijl,24965,12560,12405,,,,,,,,,,
2017,Den Helder,56020,27750,28270,,,,,,,,,,
2017,Deurne,31933,16071,15862,,,,,,,,,,
2017,Deventer,99295,49064,50231,,,,,,,,,,
2017,Diemen,27272,13251,14021,,,,,,,,,,
2017,Dinkelland,26244,13412,12832,,,,,,,,,,
2017,Doesburg,11341,5544,5797,,,,,,,,,,
2017,Doetinchem,57068,28259,28809,,,,,,,,,,
2017,Dongen,25509,12729,12780,,,,,,,,,,
2017,Dongeradeel,23901,11947,11954,,,,,,,,,,
2017,Dordrecht,118731,58684,60047,,,,,,,,,,
2017,Drechterland,19384,9835,9549,,,,,,,,,,
2017,Drimmelen,26869,13472,13397,,,,,,,,,,
2017,Dronten,40746,20502,20244,,,,,,,,,,
2017,Druten,18563,9245,9318,,,,,,,,,,
2017,Duiven,25398,12528,12870,,,,,,,,,,
2017,Echt-Susteren,31815,15997,15818,,,,,,,,,,
2017,Edam-Volendam,35800,17911,17889,,,,,,,,,,
2017,Ede,113421,55914,57507,,,,,,,,,,
2017,Eemnes,8999,4434,4565,,,,,,,,,,
2017,Eemsmond,15656,7974,7682,,,,,,,,,,
2017,Eersel,18554,9411,9143,,,,,,,,,,
2017,Eijsden-Margraten,25297,12594,12703,,,,,,,,,,
2017,Eindhoven,226868,116307,110561,,,,,,,,,,
2017,Elburg,23026,11468,11558,,,,,,,,,,
2017,Emmen,107490,53461,54029,,,,,,,,,,
2017,Enkhuizen,18479,9294,9185,,,,,,,,,,
2017,Enschede,158140,80488,77652,,,,,,,,,,
2017,Epe,32537,16131,16406,,,,,,,,,,
2017,Ermelo,26590,13178,13412,,,,,,,,,,
2017,Etten-Leur,43027,21243,21784,,,,,,,,,,
2017,Ferwerderadiel,8735,4473,4262,,,,,,,,,,
2017,Geertruidenberg,21504,10694,10810,,,,,,,,,,
2017,Geldermalsen,26587,13179,13408,,,,,,,,,,
2017,Geldrop-Mierlo,39078,19368,19710,,,,,,,,,,
2017,Gemert-Bakel,30024,15172,14852,,,,,,,,,,
2017,Gennep,17129,8746,8383,,,,,,,,,,
2017,Giessenlanden,14596,7404,7192,,,,,,,,,,
2017,Gilze en Rijen,26220,13132,13088,,,,,,,,,,
2017,Goeree-Overflakkee,48653,24042,24611,,,,,,,,,,
2017,Goes,37274,18274,19000,,,,,,,,,,
2017,Goirle,23317,11543,11774,,,,,,,,,,
2017,Gooise Meren,56935,27398,29537,,,,,,,,,,
2017,Gorinchem,35755,17647,18108,,,,,,,,,,
2017,Gouda,71752,35204,36548,,,,,,,,,,
2017,Grave,12370,6321,6049,,,,,,,,,,
2017,Grootegast,12166,6193,5973,,,,,,,,,,
2017,Gulpen-Wittem,14337,7236,7101,,,,,,,,,,
2017,Haaksbergen,24272,12186,12086,,,,,,,,,,
2017,Haaren,13912,7095,6817,,,,,,,,,,
2017,Haarlem,159229,78031,81198,,,,,,,,,,
2017,Haarlemmermeer,146003,72638,73365,,,,,,,,,,
2017,Halderberge,29579,14687,14892,,,,,,,,,,
