Perioden,Regio's,Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Mannen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Vrouwen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Inwoners 15 jaar of ouder (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Ongehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gescheiden (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Verweduwd (in % van  inwoners 15 jaar of ouder),Landbouw/Graasdieren/Rundvee (aantal),Landbouw/Graasdieren/Schapen (aantal),Lokalisering/Gemeenten (aantal),Lokalisering/Wijken (aantal),Lokalisering/Buurten (aantal)
2010,,139607,68628,70979,,,,,,,,,,
2010,,25563,12685,12878,,,,,,,,,,
2010,,12614,6312,6302,,,,,,,,,,
2010,,29187,14480,14707,,,,,,,,,,
2010,,27500,13767,13733,,,,,,,,,,
2010,,28088,14265,13823,,,,,,,,,,
2010,,19014,9291,9723,,,,,,,,,,
2010,,24191,12052,12139,,,,,,,,,,
2010,,93861,46225,47636,,,,,,,,,,
2010,,72602,36059,36543,,,,,,,,,,
2010,,188160,93508,94652,,,,,,,,,,
2010,,72534,35767,36767,,,,,,,,,,
2010,,9436,4783,4653,,,,,,,,,,
2010,,3501,1759,1742,,,,,,,,,,
2010,,144862,71085,73777,,,,,,,,,,
2010,,80695,38434,42261,,,,,,,,,,
2010,,767457,378193,389264,,,,,,,,,,
2010,,155726,76754,78972,,,,,,,,,,
2010,,12032,5791,6241,,,,,,,,,,
2010,,147018,72967,74051,,,,,,,,,,
2010,,66857,32607,34250,,,,,,,,,,
2010,,16335,8369,7966,,,,,,,,,,
2010,,6703,3437,3266,,,,,,,,,,
2010,,24317,11659,12658,,,,,,,,,,
2010,,46449,22957,23492,,,,,,,,,,
2010,,52490,26098,26392,,,,,,,,,,
2010,,10447,5244,5203,,,,,,,,,,
2010,,8584,4294,4290,,,,,,,,,,
2010,,13902,6997,6905,,,,,,,,,,
2010,,,,,,,,,,,,,,
2010,,18061,9150,8911,,,,,,,,,,
2010,,65845,32516,33329,,,,,,,,,,
2010,,44978,22647,22331,,,,,,,,,,
2010,,29655,14931,14724,,,,,,,,,,
2010,,28953,14455,14498,,,,,,,,,,
2010,,25481,12754,12727,,,,,,,,,,
2010,,38883,19209,19674,,,,,,,,,,
2010,,28926,14349,14577,,,,,,,,,,
2010,,19177,9737,9440,,,,,,,,,,
2010,,8955,4326,4629,,,,,,,,,,
2010,,22023,10406,11617,,,,,,,,,,
2010,,,,,,,,,,,,,,
2010,,9772,4969,4803,,,,,,,,,,
2010,,26072,13037,13035,,,,,,,,,,
2010,,21330,10681,10649,,,,,,,,,,
2010,,22618,11463,11155,,,,,,,,,,
2010,,28575,14313,14262,,,,,,,,,,
2010,,30276,15025,15251,,,,,,,,,,
2010,,173299,84447,88852,,,,,,,,,,
2010,,15759,7863,7896,,,,,,,,,,
2010,,37751,18714,19037,,,,,,,,,,
2010,,21139,10439,10700,,,,,,,,,,
2010,,29448,14330,15118,,,,,,,,,,
2010,,14459,7130,7329,,,,,,,,,,
2010,,20000,10032,9968,,,,,,,,,,
2010,,25887,12951,12936,,,,,,,,,,
2010,,65345,31558,33787,,,,,,,,,,
2010,,34652,16933,17719,,,,,,,,,,
2010,,36121,17996,18125,,,,,,,,,,
2010,,20343,10260,10083,,,,,,,,,,
2010,,12818,6373,6445,,,,,,,,,,
2010,,24433,12235,12198,,,,,,,,,,
2010,,27501,13637,13864,,,,,,,,,,
2010,,27259,13852,13407,,,,,,,,,,
