Perioden,Regio's,Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Mannen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Vrouwen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Inwoners 15 jaar of ouder (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Ongehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gescheiden (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Verweduwd (in % van  inwoners 15 jaar of ouder),Landbouw/Graasdieren/Rundvee (aantal),Landbouw/Graasdieren/Schapen (aantal),Lokalisering/Gemeenten (aantal),Lokalisering/Wijken (aantal),Lokalisering/Buurten (aantal)
2010,'s-Hertogenbosch,139607,68628,70979,,,,,,,,,,
2010,Aa en Hunze,25563,12685,12878,,,,,,,,,,
2010,Aalburg,12614,6312,6302,,,,,,,,,,
2010,Aalsmeer,29187,14480,14707,,,,,,,,,,
2010,Aalten,27500,13767,13733,,,,,,,,,,
2010,Achtkarspelen,28088,14265,13823,,,,,,,,,,
2010,Alblasserdam,19014,9291,9723,,,,,,,,,,
2010,Albrandswaard,24191,12052,12139,,,,,,,,,,
2010,Alkmaar,93861,46225,47636,,,,,,,,,,
2010,Almelo,72602,36059,36543,,,,,,,,,,
2010,Almere,188160,93508,94652,,,,,,,,,,
2010,Alphen aan den Rijn,72534,35767,36767,,,,,,,,,,
2010,Alphen-Chaam,9436,4783,4653,,,,,,,,,,
2010,Ameland,3501,1759,1742,,,,,,,,,,
2010,Amersfoort,144862,71085,73777,,,,,,,,,,
2010,Amstelveen,80695,38434,42261,,,,,,,,,,
2010,Amsterdam,767457,378193,389264,,,,,,,,,,
2010,Apeldoorn,155726,76754,78972,,,,,,,,,,
2010,Appingedam,12032,5791,6241,,,,,,,,,,
2010,Arnhem,147018,72967,74051,,,,,,,,,,
2010,Assen,66857,32607,34250,,,,,,,,,,
2010,Asten,16335,8369,7966,,,,,,,,,,
2010,Baarle-Nassau,6703,3437,3266,,,,,,,,,,
2010,Baarn,24317,11659,12658,,,,,,,,,,
2010,Barendrecht,46449,22957,23492,,,,,,,,,,
2010,Barneveld,52490,26098,26392,,,,,,,,,,
2010,Bedum,10447,5244,5203,,,,,,,,,,
2010,Beemster,8584,4294,4290,,,,,,,,,,
2010,Beesel,13902,6997,6905,,,,,,,,,,
2010,Berg en Dal,,,,,,,,,,,,,
2010,Bergeijk,18061,9150,8911,,,,,,,,,,
2010,Bergen op Zoom,65845,32516,33329,,,,,,,,,,
2010,Berkelland,44978,22647,22331,,,,,,,,,,
2010,Bernheze,29655,14931,14724,,,,,,,,,,
2010,Best,28953,14455,14498,,,,,,,,,,
2010,Beuningen,25481,12754,12727,,,,,,,,,,
2010,Beverwijk,38883,19209,19674,,,,,,,,,,
