Perioden,Regio's,Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Mannen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Vrouwen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Inwoners 15 jaar of ouder (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Ongehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gescheiden (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Verweduwd (in % van  inwoners 15 jaar of ouder),Landbouw/Graasdieren/Rundvee (aantal),Landbouw/Graasdieren/Schapen (aantal),Lokalisering/Gemeenten (aantal),Lokalisering/Wijken (aantal),Lokalisering/Buurten (aantal)
2013,,142817,70276,72541,,,,,,,,,,
2013,,25541,12686,12855,,,,,,,,,,
2013,,12774,6459,6315,,,,,,,,,,
2013,,30618,15178,15440,,,,,,,,,,
2013,,27082,13527,13555,,,,,,,,,,
2013,,28110,14281,13829,,,,,,,,,,
2013,,19643,9610,10033,,,,,,,,,,
2013,,25101,12455,12646,,,,,,,,,,
2013,,94505,46549,47956,,,,,,,,,,
2013,,72729,36124,36605,,,,,,,,,,
2013,,195213,96928,98285,,,,,,,,,,
2013,,72913,36017,36896,,,,,,,,,,
2013,,9640,4881,4759,,,,,,,,,,
2013,,3525,1750,1775,,,,,,,,,,
2013,,149662,73526,76136,,,,,,,,,,
2013,,84379,40227,44152,,,,,,,,,,
2013,,799278,393261,406017,,,,,,,,,,
2013,,157315,77616,79699,,,,,,,,,,
2013,,12053,5835,6218,,,,,,,,,,
2013,,149827,74359,75468,,,,,,,,,,
2013,,67204,33009,34195,,,,,,,,,,
2013,,16392,8434,7958,,,,,,,,,,
2013,,6699,3407,3292,,,,,,,,,,
2013,,24277,11675,12602,,,,,,,,,,
2013,,47371,23325,24046,,,,,,,,,,
2013,,53751,26718,27033,,,,,,,,,,
2013,,10553,5280,5273,,,,,,,,,,
2013,,8785,4394,4391,,,,,,,,,,
2013,,13688,6882,6806,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,18191,9216,8975,,,,,,,,,,
2013,,66287,32744,33543,,,,,,,,,,
2013,,44769,22533,22236,,,,,,,,,,
2013,,29775,15039,14736,,,,,,,,,,
2013,,28637,14352,14285,,,,,,,,,,
2013,,25324,12633,12691,,,,,,,,,,
2013,,40070,19861,20209,,,,,,,,,,
2013,,28964,14380,14584,,,,,,,,,,
2013,,19635,9972,9663,,,,,,,,,,
2013,,9107,4392,4715,,,,,,,,,,
2013,,22195,10536,11659,,,,,,,,,,
2013,,32817,16391,16426,,,,,,,,,,
2013,,10062,5142,4920,,,,,,,,,,
2013,,25662,12838,12824,,,,,,,,,,
2013,,21770,10847,10923,,,,,,,,,,
2013,,22683,11462,11221,,,,,,,,,,
2013,,28227,14090,14137,,,,,,,,,,
2013,,30436,15096,15340,,,,,,,,,,
2013,,178140,87030,91110,,,,,,,,,,
2013,,16320,8001,8319,,,,,,,,,,
2013,,37216,18476,18740,,,,,,,,,,
2013,,21245,10500,10745,,,,,,,,,,
2013,,29081,14141,14940,,,,,,,,,,
2013,,14563,7194,7369,,,,,,,,,,
2013,,20316,10182,10134,,,,,,,,,,
2013,,25939,12976,12963,,,,,,,,,,
2013,,66024,31892,34132,,,,,,,,,,
2013,,34402,16844,17558,,,,,,,,,,
2013,,35765,17810,17955,,,,,,,,,,
2013,,20330,10259,10071,,,,,,,,,,
2013,,12762,6331,6431,,,,,,,,,,
2013,,24743,12354,12389,,,,,,,,,,
2013,,27681,13744,13937,,,,,,,,,,
2013,,27570,13986,13584,,,,,,,,,,
2013,,19130,9584,9546,,,,,,,,,,
2013,,42032,19992,22040,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,10336,5259,5077,,,,,,,,,,
2013,,42846,21302,21544,,,,,,,,,,
2013,,23761,11914,11847,,,,,,,,,,
2013,,99097,52635,46462,,,,,,,,,,
2013,,26025,13032,12993,,,,,,,,,,
2013,,56947,28189,28758,,,,,,,,,,
2013,,31733,15970,15763,,,,,,,,,,
2013,,98581,48545,50036,,,,,,,,,,
2013,,25218,12226,12992,,,,,,,,,,
2013,,26056,13236,12820,,,,,,,,,,
2013,,11539,5646,5893,,,,,,,,,,
2013,,56414,27866,28548,,,,,,,,,,
2013,,25382,12590,12792,,,,,,,,,,
2013,,24221,12143,12078,,,,,,,,,,
2013,,118466,58383,60083,,,,,,,,,,
2013,,19298,9789,9509,,,,,,,,,,
2013,,26737,13385,13352,,,,,,,,,,
2013,,40679,20624,20055,,,,,,,,,,
2013,,18203,9037,9166,,,,,,,,,,
2013,,25554,12518,13036,,,,,,,,,,
2013,,32072,16035,16037,,,,,,,,,,
2013,,28754,14353,14401,,,,,,,,,,
2013,,109823,53877,55946,,,,,,,,,,
2013,,8795,4367,4428,,,,,,,,,,
2013,,16083,8217,7866,,,,,,,,,,
2013,,18196,9225,8971,,,,,,,,,,
2013,,25049,12516,12533,,,,,,,,,,
2013,,218433,111332,107101,,,,,,,,,,
2013,,22510,11137,11373,,,,,,,,,,
2013,,108392,53662,54730,,,,,,,,,,
2013,,18315,9186,9129,,,,,,,,,,
2013,,158627,80449,78178,,,,,,,,,,
2013,,32385,15974,16411,,,,,,,,,,
2013,,26120,12886,13234,,,,,,,,,,
2013,,42274,20907,21367,,,,,,,,,,
2013,,8856,4524,4332,,,,,,,,,,
2013,,21513,10697,10816,,,,,,,,,,
2013,,26240,13007,13233,,,,,,,,,,
2013,,38768,19209,19559,,,,,,,,,,
2013,,29101,14681,14420,,,,,,,,,,
2013,,17319,8844,8475,,,,,,,,,,
2013,,14466,7354,7112,,,,,,,,,,
2013,,25858,13016,12842,,,,,,,,,,
2013,,48259,23886,24373,,,,,,,,,,
2013,,36971,18093,18878,,,,,,,,,,
2013,,22933,11344,11589,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,35128,17281,17847,,,,,,,,,,
2013,,70904,34704,36200,,,,,,,,,,
2013,,12731,6571,6160,,,,,,,,,,
2013,,12222,6232,5990,,,,,,,,,,
2013,,14444,7249,7195,,,,,,,,,,
2013,,24322,12231,12091,,,,,,,,,,
2013,,13572,6975,6597,,,,,,,,,,
2013,,153093,74655,78438,,,,,,,,,,
2013,,144153,71711,72442,,,,,,,,,,
2013,,29231,14496,14735,,,,,,,,,,
2013,,59585,30155,29430,,,,,,,,,,
2013,,45650,22463,23187,,,,,,,,,,
2013,,17722,8828,8894,,,,,,,,,,
2013,,18642,8816,9826,,,,,,,,,,
2013,,15854,7973,7881,,,,,,,,,,
2013,,11769,5754,6015,,,,,,,,,,
2013,,39117,19212,19905,,,,,,,,,,
2013,,26317,12371,13946,,,,,,,,,,
2013,,18399,9044,9355,,,,,,,,,,
2013,,43323,21356,21967,,,,,,,,,,
2013,,52893,26616,26277,,,,,,,,,,
2013,,88747,43923,44824,,,,,,,,,,
2013,,15405,7765,7640,,,,,,,,,,
2013,,22594,11132,11462,,,,,,,,,,
2013,,35743,17871,17872,,,,,,,,,,
2013,,39086,19422,19664,,,,,,,,,,
2013,,89023,44677,44346,,,,,,,,,,
2013,,28641,14076,14565,,,,,,,,,,
2013,,16455,8163,8292,,,,,,,,,,
2013,,43244,21599,21645,,,,,,,,,,
2013,,20868,10310,10558,,,,,,,,,,
2013,,15086,7633,7453,,,,,,,,,,
2013,,86017,41934,44083,,,,,,,,,,
2013,,35215,17468,17747,,,,,,,,,,
2013,,47643,24084,23559,,,,,,,,,,
2013,,54874,27300,27574,,,,,,,,,,
2013,,71360,35104,36256,,,,,,,,,,
2013,,41810,21087,20723,,,,,,,,,,
2013,,48429,23898,24531,,,,,,,,,,
2013,,41445,20164,21281,,,,,,,,,,
2013,,27514,13728,13786,,,,,,,,,,
2013,,34254,16682,17572,,,,,,,,,,
2013,,25715,13030,12685,,,,,,,,,,
2013,,50924,25297,25627,,,,,,,,,,
2013,,12495,6216,6279,,,,,,,,,,
2013,,62688,31125,31563,,,,,,,,,,
2013,,47194,23530,23664,,,,,,,,,,
2013,,22376,11231,11145,,,,,,,,,,
2013,,10774,5384,5390,,,,,,,,,,
2013,,28855,14043,14812,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,21767,11019,10748,,,,,,,,,,
2013,,15223,7764,7459,,,,,,,,,,
2013,,37911,18685,19226,,,,,,,,,,
2013,,10454,5012,5442,,,,,,,,,,
2013,,26899,13431,13468,,,,,,,,,,
2013,,56506,28127,28379,,,,,,,,,,
2013,,19611,9720,9891,,,,,,,,,,
2013,,20718,10169,10549,,,,,,,,,,
2013,,95949,47117,48832,,,,,,,,,,
2013,,119800,58228,61572,,,,,,,,,,
2013,,26743,12913,13830,,,,,,,,,,
2013,,72588,34714,37874,,,,,,,,,,
2013,,75778,37826,37952,,,,,,,,,,
2013,,36426,18433,17993,,,,,,,,,,
2013,,28969,14185,14784,,,,,,,,,,
2013,,11007,5482,5525,,,,,,,,,,
2013,,45818,22736,23082,,,,,,,,,,
2013,,22393,11045,11348,,,,,,,,,,
2013,,33308,16342,16966,,,,,,,,,,
2013,,23083,11430,11653,,,,,,,,,,
2013,,13992,7118,6874,,,,,,,,,,
2013,,10292,5208,5084,,,,,,,,,,
2013,,22554,11329,11225,,,,,,,,,,
2013,,24092,12163,11929,,,,,,,,,,
2013,,24017,12039,11978,,,,,,,,,,
2013,,31985,15697,16288,,,,,,,,,,
2013,,121819,58564,63255,,,,,,,,,,
2013,,10382,5309,5073,,,,,,,,,,
2013,,43248,22033,21215,,,,,,,,,,
2013,,19362,9550,9812,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,32726,16020,16706,,,,,,,,,,
2013,,18251,9222,9029,,,,,,,,,,
2013,,33422,16668,16754,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,36625,18297,18328,,,,,,,,,,
2013,,29190,14835,14355,,,,,,,,,,
2013,,34834,17366,17468,,,,,,,,,,
2013,,13621,6839,6782,,,,,,,,,,
2013,,7827,3890,3937,,,,,,,,,,
2013,,22593,11230,11363,,,,,,,,,,
2013,,16785,8453,8332,,,,,,,,,,
2013,,12022,6054,5968,,,,,,,,,,
2013,,60895,30154,30741,,,,,,,,,,
2013,,27082,13735,13347,,,,,,,,,,
2013,,40355,20092,20263,,,,,,,,,,
2013,,166382,79619,86763,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,31024,15396,15628,,,,,,,,,,
2013,,46284,23410,22874,,,,,,,,,,
2013,,25671,12898,12773,,,,,,,,,,
2013,,15740,7929,7811,,,,,,,,,,
2013,,26628,13133,13495,,,,,,,,,,
2013,,15494,7674,7820,,,,,,,,,,
2013,,23153,11179,11974,,,,,,,,,,
2013,,17926,9083,8843,,,,,,,,,,
2013,,25770,12690,13080,,,,,,,,,,
2013,,38748,19128,19620,,,,,,,,,,
2013,,22774,11475,11299,,,,,,,,,,
2013,,32200,16076,16124,,,,,,,,,,
2013,,17751,8968,8783,,,,,,,,,,
2013,,17314,8668,8646,,,,,,,,,,
2013,,7905,3942,3963,,,,,,,,,,
2013,,29873,15222,14651,,,,,,,,,,
2013,,53686,26457,27229,,,,,,,,,,
2013,,25836,12933,12903,,,,,,,,,,
2013,,9141,4465,4676,,,,,,,,,,
2013,,11379,5726,5653,,,,,,,,,,
2013,,29896,14935,14961,,,,,,,,,,
2013,,84861,42380,42481,,,,,,,,,,
2013,,23441,11481,11960,,,,,,,,,,
2013,,39779,19898,19881,,,,,,,,,,
2013,,13249,6454,6795,,,,,,,,,,
2013,,9872,4854,5018,,,,,,,,,,
2013,,46531,23084,23447,,,,,,,,,,
2013,,32082,15753,16329,,,,,,,,,,
2013,,43302,21978,21324,,,,,,,,,,
2013,,12804,6433,6371,,,,,,,,,,
2013,,50454,25149,25305,,,,,,,,,,
2013,,79482,38886,40596,,,,,,,,,,
2013,,23971,11901,12070,,,,,,,,,,
2013,,36486,18308,18178,,,,,,,,,,
2013,,21859,10976,10883,,,,,,,,,,
2013,,31565,15291,16274,,,,,,,,,,
2013,,4893,2444,2449,,,,,,,,,,
2013,,12670,6465,6205,,,,,,,,,,
2013,,43679,21302,22377,,,,,,,,,,
2013,,19047,9430,9617,,,,,,,,,,
2013,,45330,21894,23436,,,,,,,,,,
2013,,37608,18694,18914,,,,,,,,,,
2013,,20996,10501,10495,,,,,,,,,,
2013,,56690,28019,28671,,,,,,,,,,
2013,,77155,38086,39069,,,,,,,,,,
2013,,616294,303257,313037,,,,,,,,,,
2013,,1501,747,754,,,,,,,,,,
2013,,22268,11131,11137,,,,,,,,,,
2013,,46207,23127,23080,,,,,,,,,,
2013,,9403,4642,4761,,,,,,,,,,
2013,,76216,37446,38770,,,,,,,,,,
2013,,960,484,476,,,,,,,,,,
2013,,12950,6438,6512,,,,,,,,,,
2013,,34040,16837,17203,,,,,,,,,,
2013,,10920,5413,5507,,,,,,,,,,
2013,,11760,6058,5702,,,,,,,,,,
2013,,28040,14093,13947,,,,,,,,,,
2013,,94024,46289,47735,,,,,,,,,,
2013,,24389,11963,12426,,,,,,,,,,
2013,,55454,27601,27853,,,,,,,,,,
2013,,45508,22194,23314,,,,,,,,,,
2013,,18628,9463,9165,,,,,,,,,,
2013,,16138,7975,8163,,,,,,,,,,
2013,,32885,16251,16634,,,,,,,,,,
2013,,16275,8339,7936,,,,,,,,,,
2013,,21430,10839,10591,,,,,,,,,,
2013,,23400,11745,11655,,,,,,,,,,
2013,,43437,21737,21700,,,,,,,,,,
2013,,63491,31088,32403,,,,,,,,,,
2013,,8777,4397,4380,,,,,,,,,,
2013,,7500,3754,3746,,,,,,,,,,
2013,,54729,27216,27513,,,,,,,,,,
2013,,4795,2534,2261,,,,,,,,,,
2013,,13662,6766,6896,,,,,,,,,,
2013,,35800,17844,17956,,,,,,,,,,
2013,,25514,12745,12769,,,,,,,,,,
2013,,41751,20775,20976,,,,,,,,,,
2013,,208527,103682,104845,,,,,,,,,,
2013,,21172,10787,10385,,,,,,,,,,
2013,,33971,17225,16746,,,,,,,,,,
2013,,32456,15934,16522,,,,,,,,,,
2013,,31979,15963,16016,,,,,,,,,,
2013,,40948,20295,20653,,,,,,,,,,
2013,,13061,6558,6503,,,,,,,,,,
2013,,28387,13973,14414,,,,,,,,,,
2013,,19225,9749,9476,,,,,,,,,,
2013,,48092,23229,24863,,,,,,,,,,
2013,,9771,4834,4937,,,,,,,,,,
2013,,16814,8329,8485,,,,,,,,,,
2013,,30584,15123,15461,,,,,,,,,,
2013,,27914,13818,14096,,,,,,,,,,
2013,,63032,30954,32078,,,,,,,,,,
2013,,21903,10953,10950,,,,,,,,,,
2013,,44092,22012,22080,,,,,,,,,,
2013,,67122,33283,33839,,,,,,,,,,
2013,,100159,49708,50451,,,,,,,,,,
2013,,43038,21684,21354,,,,,,,,,,
2013,,19670,9679,9991,,,,,,,,,,
2013,,70905,34612,36293,,,,,,,,,,
2013,,1114,548,566,,,,,,,,,,
2013,,44451,22131,22320,,,,,,,,,,
2013,,12617,6291,6326,,,,,,,,,,
2013,,24658,11910,12748,,,,,,,,,,
2013,,23724,11882,11842,,,,,,,,,,
2013,,25564,12659,12905,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,16725,8265,8460,,,,,,,,,,
2013,,46438,23108,23330,,,,,,,,,,
2013,,25217,12540,12677,,,,,,,,,,
2013,,37408,18022,19386,,,,,,,,,,
2013,,25656,12137,13519,,,,,,,,,,
2013,,17091,8506,8585,,,,,,,,,,
2013,,48587,24305,24282,,,,,,,,,,
2013,,18151,8790,9361,,,,,,,,,,
2013,,26405,13152,13253,,,,,,,,,,
2013,,18410,9155,9255,,,,,,,,,,
2013,,19091,9520,9571,,,,,,,,,,
2013,,15199,7527,7672,,,,,,,,,,
2013,,,,,,,,,,,,,,
2013,,102698,51064,51634,,,,,,,,,,
2013,,25595,12848,12747,,,,,,,,,,
2013,,13890,6876,7014,,,,,,,,,,
2013,,23807,11896,11911,,,,,,,,,,
2013,,41004,20232,20772,,,,,,,,,,
2013,,23221,11354,11867,,,,,,,,,,
2013,,23035,11384,11651,,,,,,,,,,
2013,,13906,6910,6996,,,,,,,,,,
2013,,28967,14416,14551,,,,,,,,,,
2013,,21648,10858,10790,,,,,,,,,,
