Perioden,Regio's,Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Mannen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Vrouwen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Inwoners 15 jaar of ouder (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Ongehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gescheiden (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Verweduwd (in % van  inwoners 15 jaar of ouder),Landbouw/Graasdieren/Rundvee (aantal),Landbouw/Graasdieren/Schapen (aantal),Lokalisering/Gemeenten (aantal),Lokalisering/Wijken (aantal),Lokalisering/Buurten (aantal)
2009,'s-Hertogenbosch,137775,67715,70060,,,,,,,,,,
2009,Aa en Hunze,25675,12763,12912,,,,,,,,,,
2009,Aalburg,12556,6311,6245,,,,,,,,,,
2009,Aalsmeer,28006,13920,14086,,,,,,,,,,
2009,Aalten,27447,13761,13686,,,,,,,,,,
2009,Achtkarspelen,28139,14292,13847,,,,,,,,,,
2009,Alblasserdam,18839,9222,9617,,,,,,,,,,
2009,Albrandswaard,22974,11494,11480,,,,,,,,,,
2009,Alkmaar,93416,45928,47488,,,,,,,,,,
2009,Almelo,72428,35993,36435,,,,,,,,,,
2009,Almere,185746,92252,93494,,,,,,,,,,
2009,Alphen aan den Rijn,72178,35608,36570,,,,,,,,,,
2009,Alphen-Chaam,9421,4783,4638,,,,,,,,,,
2009,Ameland,3466,1752,1714,,,,,,,,,,
2009,Amersfoort,143212,70304,72908,,,,,,,,,,
2009,Amstelveen,79768,38055,41713,,,,,,,,,,
2009,Amsterdam,755605,371858,383747,,,,,,,,,,
2009,Apeldoorn,155332,76473,78859,,,,,,,,,,
2009,Appingedam,12114,5854,6260,,,,,,,,,,
2009,Arnhem,145574,72212,73362,,,,,,,,,,
2009,Assen,66369,32365,34004,,,,,,,,,,
2009,Asten,16363,8373,7990,,,,,,,,,,
2009,Baarle-Nassau,6682,3418,3264,,,,,,,,,,
2009,Baarn,24335,11675,12660,,,,,,,,,,
2009,Barendrecht,45861,22663,23198,,,,,,,,,,
2009,Barneveld,52066,25885,26181,,,,,,,,,,
2009,Bedum,10462,5269,5193,,,,,,,,,,
2009,Beemster,8564,4291,4273,,,,,,,,,,
2009,Beesel,13795,6928,6867,,,,,,,,,,
2009,Berg en Dal,,,,,,,,,,,,,
2009,Bergeijk,18087,9167,8920,,,,,,,,,,
2009,Bergen op Zoom,65582,32349,33233,,,,,,,,,,
2009,Berkelland,45142,22752,22390,,,,,,,,,,
2009,Bernheze,29615,14924,14691,,,,,,,,,,
2009,Best,29017,14482,14535,,,,,,,,,,
2009,Beuningen,25304,12682,12622,,,,,,,,,,
2009,Beverwijk,38284,18906,19378,,,,,,,,,,
2009,Binnenmaas,28862,14327,14535,,,,,,,,,,
2009,Bladel,19129,9691,9438,,,,,,,,,,
2009,Blaricum,8987,4331,4656,,,,,,,,,,
2009,Bloemendaal,22069,10402,11667,,,,,,,,,,
2009,Bodegraven-Reeuwijk,,,,,,,,,,,,,
2009,Boekel,9692,4943,4749,,,,,,,,,,
2009,Borger-Odoorn,26151,13063,13088,,,,,,,,,,
2009,Borne,21106,10538,10568,,,,,,,,,,
2009,Borsele,22551,11432,11119,,,,,,,,,,
2009,Boxmeer,28609,14294,14315,,,,,,,,,,
2009,Boxtel,30281,15043,15238,,,,,,,,,,
2009,Breda,171916,83676,88240,,,,,,,,,,
2009,Brielle,15597,7722,7875,,,,,,,,,,
2009,Bronckhorst,37897,18766,19131,,,,,,,,,,
2009,Brummen,21159,10471,10688,,,,,,,,,,
2009,Brunssum,29532,14376,15156,,,,,,,,,,
2009,Bunnik,14407,7107,7300,,,,,,,,,,
2009,Bunschoten,19753,9925,9828,,,,,,,,,,
2009,Buren,25667,12874,12793,,,,,,,,,,
2009,Capelle aan den IJssel,65273,31524,33749,,,,,,,,,,
2009,Castricum,34739,16939,17800,,,,,,,,,,
2009,Coevorden,35887,17847,18040,,,,,,,,,,
2009,Cranendonck,20272,10272,10000,,,,,,,,,,
2009,Cromstrijen,12837,6389,6448,,,,,,,,,,
2009,Cuijk,24309,12205,12104,,,,,,,,,,
2009,Culemborg,27414,13567,13847,,,,,,,,,,
2009,Dalfsen,27044,13749,13295,,,,,,,,,,
2009,Dantumadiel,19367,9717,9650,,,,,,,,,,
2009,De Bilt,41984,19956,22028,,,,,,,,,,
2009,De Fryske Marren,,,,,,,,,,,,,
2009,De Marne,10587,5361,5226,,,,,,,,,,
2009,De Ronde Venen,34528,17200,17328,,,,,,,,,,
2009,De Wolden,23544,11802,11742,,,,,,,,,,
2009,Delft,96517,50618,45899,,,,,,,,,,
2009,Delfzijl,26744,13357,13387,,,,,,,,,,
2009,Den Helder,57526,28519,29007,,,,,,,,,,
2009,Deurne,31466,15834,15632,,,,,,,,,,
2009,Deventer,97892,48330,49562,,,,,,,,,,
2009,Diemen,24361,11813,12548,,,,,,,,,,
2009,Dinkelland,26066,13259,12807,,,,,,,,,,
2009,Doesburg,11503,5636,5867,,,,,,,,,,
2009,Doetinchem,56136,27784,28352,,,,,,,,,,
2009,Dongen,25411,12678,12733,,,,,,,,,,
2009,Dongeradeel,24610,12347,12263,,,,,,,,,,
2009,Dordrecht,118408,58179,60229,,,,,,,,,,
2009,Drechterland,19091,9714,9377,,,,,,,,,,
2009,Drimmelen,26624,13305,13319,,,,,,,,,,
2009,Dronten,39206,19910,19296,,,,,,,,,,
2009,Druten,18102,9001,9101,,,,,,,,,,
2009,Duiven,25510,12507,13003,,,,,,,,,,
2009,Echt-Susteren,32049,16022,16027,,,,,,,,,,
2009,Edam-Volendam,28483,14312,14171,,,,,,,,,,
2009,Ede,107623,52761,54862,,,,,,,,,,
2009,Eemnes,8880,4401,4479,,,,,,,,,,
2009,Eemsmond,16487,8385,8102,,,,,,,,,,
2009,Eersel,18104,9216,8888,,,,,,,,,,
2009,Eijsden-Margraten,,,,,,,,,,,,,
2009,Eindhoven,212269,107570,104699,,,,,,,,,,
2009,Elburg,22112,10920,11192,,,,,,,,,,
2009,Emmen,109441,54084,55357,,,,,,,,,,
2009,Enkhuizen,18104,9020,9084,,,,,,,,,,
2009,Enschede,156071,79375,76696,,,,,,,,,,
2009,Epe,32954,16215,16739,,,,,,,,,,
2009,Ermelo,26306,12916,13390,,,,,,,,,,
2009,Etten-Leur,40997,20322,20675,,,,,,,,,,
2009,Ferwerderadiel,8825,4533,4292,,,,,,,,,,
