Perioden,Regio's,Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Mannen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Vrouwen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Inwoners 15 jaar of ouder (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Ongehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gescheiden (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Verweduwd (in % van  inwoners 15 jaar of ouder),Landbouw/Graasdieren/Rundvee (aantal),Landbouw/Graasdieren/Schapen (aantal),Lokalisering/Gemeenten (aantal),Lokalisering/Wijken (aantal),Lokalisering/Buurten (aantal)
2008,,136481,67047,69434,,,,,,,,,,
2008,,25598,12668,12930,,,,,,,,,,
2008,,12386,6214,6172,,,,,,,,,,
2008,,26386,13108,13278,,,,,,,,,,
2008,,27568,13807,13761,,,,,,,,,,
2008,,28088,14235,13853,,,,,,,,,,
2008,,18718,9118,9600,,,,,,,,,,
2008,,22453,11209,11244,,,,,,,,,,
2008,,93876,46144,47732,,,,,,,,,,
2008,,72287,35904,36383,,,,,,,,,,
2008,,183270,90847,92423,,,,,,,,,,
2008,,71658,35319,36339,,,,,,,,,,
2008,,9455,4807,4648,,,,,,,,,,
2008,,3456,1748,1708,,,,,,,,,,
2008,,141211,69162,72049,,,,,,,,,,
2008,,78980,37615,41365,,,,,,,,,,
2008,,747093,367509,379584,,,,,,,,,,
2008,,155108,76185,78923,,,,,,,,,,
2008,,12131,5868,6263,,,,,,,,,,
2008,,143582,71065,72517,,,,,,,,,,
2008,,65487,31986,33501,,,,,,,,,,
2008,,16392,8377,8015,,,,,,,,,,
2008,,6664,3389,3275,,,,,,,,,,
2008,,24406,11711,12695,,,,,,,,,,
2008,,44962,22215,22747,,,,,,,,,,
2008,,51486,25612,25874,,,,,,,,,,
2008,,10550,5303,5247,,,,,,,,,,
2008,,8474,4261,4213,,,,,,,,,,
2008,,13643,6844,6799,,,,,,,,,,
2008,,,,,,,,,,,,,,
2008,,18099,9149,8950,,,,,,,,,,
2008,,65242,32175,33067,,,,,,,,,,
2008,,45150,22756,22394,,,,,,,,,,
2008,,29663,14968,14695,,,,,,,,,,
2008,,29089,14541,14548,,,,,,,,,,
2008,,25321,12691,12630,,,,,,,,,,
2008,,37347,18357,18990,,,,,,,,,,
2008,,28797,14308,14489,,,,,,,,,,
2008,,19114,9700,9414,,,,,,,,,,
2008,,9036,4358,4678,,,,,,,,,,
2008,,16873,7930,8943,,,,,,,,,,
2008,,,,,,,,,,,,,,
2008,,9646,4929,4717,,,,,,,,,,
2008,,26201,13068,13133,,,,,,,,,,
2008,,20764,10325,10439,,,,,,,,,,
2008,,22531,11424,11107,,,,,,,,,,
2008,,28635,14267,14368,,,,,,,,,,
2008,,30241,14988,15253,,,,,,,,,,
2008,,170960,83158,87802,,,,,,,,,,
2008,,15762,7812,7950,,,,,,,,,,
2008,,37833,18765,19068,,,,,,,,,,
2008,,21200,10485,10715,,,,,,,,,,
2008,,29742,14448,15294,,,,,,,,,,
2008,,14258,7041,7217,,,,,,,,,,
2008,,19611,9858,9753,,,,,,,,,,
2008,,25727,12894,12833,,,,,,,,,,
2008,,65022,31407,33615,,,,,,,,,,
2008,,34705,16963,17742,,,,,,,,,,
2008,,35993,17929,18064,,,,,,,,,,
2008,,20263,10256,10007,,,,,,,,,,
2008,,12853,6389,6464,,,,,,,,,,
2008,,24226,12201,12025,,,,,,,,,,
2008,,27298,13540,13758,,,,,,,,,,
2008,,26735,13591,13144,,,,,,,,,,
2008,,,,,,,,,,,,,,
2008,,41998,19913,22085,,,,,,,,,,
2008,,,,,,,,,,,,,,
2008,,10696,5420,5276,,,,,,,,,,
2008,,34569,17256,17313,,,,,,,,,,
2008,,23554,11795,11759,,,,,,,,,,
2008,,96168,50416,45752,,,,,,,,,,
2008,,27314,13678,13636,,,,,,,,,,
2008,,57795,28598,29197,,,,,,,,,,
2008,,31643,15906,15737,,,,,,,,,,
2008,,97342,48021,49321,,,,,,,,,,
2008,,24046,11718,12328,,,,,,,,,,
2008,,26116,13275,12841,,,,,,,,,,
2008,,11567,5703,5864,,,,,,,,,,
2008,,56253,27819,28434,,,,,,,,,,
2008,,25442,12680,12762,,,,,,,,,,
2008,,24694,12374,12320,,,,,,,,,,
2008,,118182,57965,60217,,,,,,,,,,
2008,,18818,9587,9231,,,,,,,,,,
2008,,26623,13311,13312,,,,,,,,,,
2008,,38528,19569,18959,,,,,,,,,,
2008,,18082,8977,9105,,,,,,,,,,
2008,,25560,12502,13058,,,,,,,,,,
2008,,32172,16069,16103,,,,,,,,,,
2008,,28448,14284,14164,,,,,,,,,,
2008,,107686,52802,54884,,,,,,,,,,
2008,,8964,4433,4531,,,,,,,,,,
2008,,16542,8429,8113,,,,,,,,,,
2008,,18072,9193,8879,,,,,,,,,,
2008,,,,,,,,,,,,,,
2008,,210333,106456,103877,,,,,,,,,,
2008,,22231,10984,11247,,,,,,,,,,
2008,,109151,53917,55234,,,,,,,,,,
2008,,17804,8854,8950,,,,,,,,,,
2008,,154753,78633,76120,,,,,,,,,,
2008,,32970,16213,16757,,,,,,,,,,
2008,,26270,12901,13369,,,,,,,,,,
2008,,40435,20018,20417,,,,,,,,,,
2008,,8865,4555,4310,,,,,,,,,,
2008,,20742,10344,10398,,,,,,,,,,
2008,,26285,13016,13269,,,,,,,,,,
2008,,37982,18777,19205,,,,,,,,,,
2008,,28103,14253,13850,,,,,,,,,,
2008,,16890,8635,8255,,,,,,,,,,
2008,,14422,7284,7138,,,,,,,,,,
2008,,25644,12983,12661,,,,,,,,,,
2008,,,,,,,,,,,,,,
2008,,36706,17888,18818,,,,,,,,,,
2008,,22319,11087,11232,,,,,,,,,,
2008,,,,,,,,,,,,,,
2008,,34472,16980,17492,,,,,,,,,,
2008,,70857,34612,36245,,,,,,,,,,
2008,,12717,6480,6237,,,,,,,,,,
2008,,12208,6233,5975,,,,,,,,,,
2008,,14712,7399,7313,,,,,,,,,,
2008,,24378,12273,12105,,,,,,,,,,
2008,,13769,7003,6766,,,,,,,,,,
2008,,147640,71700,75940,,,,,,,,,,
2008,,140648,69956,70692,,,,,,,,,,
2008,,29488,14699,14789,,,,,,,,,,
2008,,58207,29443,28764,,,,,,,,,,
2008,,42333,20863,21470,,,,,,,,,,
2008,,17604,8716,8888,,,,,,,,,,
2008,,18706,8792,9914,,,,,,,,,,
2008,,15567,7770,7797,,,,,,,,,,
2008,,11657,5672,5985,,,,,,,,,,
2008,,38381,18763,19618,,,,,,,,,,
2008,,25626,12024,13602,,,,,,,,,,
2008,,18212,9008,9204,,,,,,,,,,
2008,,43027,21051,21976,,,,,,,,,,
2008,,50390,25411,24979,,,,,,,,,,
2008,,89671,44072,45599,,,,,,,,,,
2008,,15133,7647,7486,,,,,,,,,,
2008,,22024,10838,11186,,,,,,,,,,
2008,,36059,18053,18006,,,,,,,,,,
2008,,39620,19665,19955,,,,,,,,,,
