Perioden,Regio's,Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Mannen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Geslacht/Vrouwen (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Inwoners 15 jaar of ouder (aantal),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Ongehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gehuwd (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Gescheiden (in % van  inwoners 15 jaar of ouder),Bevolking/Bevolkingssamenstelling op 1 januari/Burgerlijke staat/Bevolking 15 jaar of ouder/Verweduwd (in % van  inwoners 15 jaar of ouder),Landbouw/Graasdieren/Rundvee (aantal),Landbouw/Graasdieren/Schapen (aantal),Lokalisering/Gemeenten (aantal),Lokalisering/Wijken (aantal),Lokalisering/Buurten (aantal)
2012,Renkum,31630,15273,16357,,,,,,,,,,
2012,Renswoude,4822,2395,2427,,,,,,,,,,
2012,Reusel-De Mierden,12654,6461,6193,,,,,,,,,,
2012,Rheden,43612,21216,22396,,,,,,,,,,
2012,Rhenen,19064,9439,9625,,,,,,,,,,
2012,Ridderkerk,45208,21866,23342,,,,,,,,,,
2012,Rijssen-Holten,37561,18665,18896,,,,,,,,,,
2012,Roerdalen,21092,10564,10528,,,,,,,,,,
2012,Roermond,56165,27743,28422,,,,,,,,,,
2012,Roosendaal,77426,38246,39180,,,,,,,,,,
2012,Rotterdam,616260,303769,312491,,,,,,,,,,
2012,Rozendaal,1514,749,765,,,,,,,,,,
2012,Rucphen,22320,11169,11151,,,,,,,,,,
2012,Schagen,18653,9105,9548,,,,,,,,,,
2012,Scherpenzeel,9354,4638,4716,,,,,,,,,,
2012,Schiedam,76244,37492,38752,,,,,,,,,,
2012,Schiermonnikoog,932,464,468,,,,,,,,,,
2012,Schinnen,13202,6644,6558,,,,,,,,,,
2012,Schouwen-Duiveland,34151,16864,17287,,,,,,,,,,
2012,Simpelveld,10914,5430,5484,,,,,,,,,,
2012,Sint Anthonis,11803,6062,5741,,,,,,,,,,
2012,Sint-Michielsgestel,28128,14143,13985,,,,,,,,,,
2012,Sittard-Geleen,94535,46504,48031,,,,,,,,,,
2012,Sliedrecht,24232,11895,12337,,,,,,,,,,
2012,Smallingerland,55456,27571,27885,,,,,,,,,,
2012,Soest,45612,22209,23403,,,,,,,,,,
2012,Someren,18580,9457,9123,,,,,,,,,,
2012,Son en Breugel,15822,7816,8006,,,,,,,,,,
2012,Stadskanaal,32998,16292,16706,,,,,,,,,,
2012,Staphorst,16224,8324,7900,,,,,,,,,,
2012,Stede Broec,21468,10860,10608,,,,,,,,,,
2012,Steenbergen,23354,11745,11609,,,,,,,,,,
2012,Steenwijkerland,43402,21708,21694,,,,,,,,,,
2012,Stichtse Vecht,63315,31027,32288,,,,,,,,,,
2012,Strijen,8848,4418,4430,,,,,,,,,,
2012,Ten Boer,7477,3744,3733,,,,,,,,,,
2012,Terneuzen,54742,27250,27492,,,,,,,,,,
2012,Terschelling,4748,2512,2236,,,,,,,,,,
2012,Texel,13668,6773,6895,,,,,,,,,,
2012,Teylingen,35686,17798,17888,,,,,,,,,,
2012,Tholen,25540,12796,12744,,,,,,,,,,
2012,Tiel,41527,20622,20905,,,,,,,,,,
2012,Tilburg,207580,103015,104565,,,,,,,,,,
2012,Tubbergen,21206,10780,10426,,,,,,,,,,
2012,Twenterand,33929,17193,16736,,,,,,,,,,
2012,Tynaarlo,32357,15911,16446,,,,,,,,,,
2012,Tytsjerksteradiel,32164,16037,16127,,,,,,,,,,
2012,Uden,40805,20243,20562,,,,,,,,,,
2012,Uitgeest,12897,6472,6425,,,,,,,,,,
2012,Uithoorn,28307,13973,14334,,,,,,,,,,
2012,Urk,18950,9588,9362,,,,,,,,,,
2012,Utrechtse Heuvelrug,48267,23301,24966,,,,,,,,,,
2012,Vaals,9749,4805,4944,,,,,,,,,,
2012,Valkenburg aan de Geul,16945,8374,8571,,,,,,,,,,
2012,Valkenswaard,30666,15150,15516,,,,,,,,,,
